Rank;Name;Score;Federation;Gender;Rating;TPR;W-We;Mut-Res;BH;SB
1;"Mathijssen, Koen";2.0;NED;M;1659;2138;+0.26;0.0; 0.0; 0.0
2;"Yildirim, Azra";2.0;NED;V;1644;2147;+0.30;0.0; 0.0; 0.0
3;"Vogels, Mathijs";1.5;NED;M;1838;1750;-0.12;; 2.5; 1.75
4;"Hompes, Roel";1.5;NED;M;1750;1787;+0.20;; 1.5; 0.75
5;"Killic, Tuncay";1.0;NED;M;0 *;1593;0;; 1.5; 0.0
6;"Tromm, Amber";0.0;NED;V;1346;852;-0.29;; 4.0; 0.0
7;"Fusers, Jonne";0.0;NED;M;1330;895;-0.20;; 3.5; 0.0
8;"Kursten, Gwen";0.0;NED;V;1347;844;-0.15;; 3.0; 0.0
