Board;WhiteNr;WhiteFideId;WhiteName;WhiteElo;WhitePoints;Result;BlackPoints;BlackElo;BlackName;BlackFideId;BlackNr
1;8;9013598;"Killic, Tuncay";0;0.0;1-0;0.0;1347;"Kursten, Gwen";8784600;5
2;6;8783654;"Tromm, Amber";1346;0.0;0-1;1.0;1644;"Yildirim, Azra";8712627;4
3;7;8783643;"Fusers, Jonne";1330;0.0;0-1;1.0;1659;"Mathijssen, Koen";8710207;3
4;1;8845001;"Vogels, Mathijs";1838;1.0;1/2-1/2;1.0;1750;"Hompes, Roel";8831482;2
