Board;WhiteNr;WhiteFideId;WhiteName;WhiteElo;WhitePoints;Result;BlackPoints;BlackElo;BlackName;BlackFideId;BlackNr
1;4;8930592;"Lalkota, Sai Pranav Tejas";1855;3.0;1/2-1/2;3.5;1901;"Thijssen, Freek";8806479;2
2;3;8933991;"Ma, Tim";1861;3.0;0-1;3.0;1756;"Gayen, Arish";8798075;5
3;1;8809306;"Leenen, Boyd";2073;2.5;1-0;2.0;1755;"Zhou, Yanyang";8990377;6
4;7;8925125;"Elangkumaran, Anumitra";1689;2.0;1-0;2.0;1607;"Zhang, Yourui Eric";8746727;8
5;14;8934629;"Maram, Vihaan";1056;2.0;1-0;1.5;0;"Gupta, Adarsh";9052032;15
6;12;8831471;"Fusers, Lorijn";1216;1.5;0-1;1.5;1522;"Mathijssen, Jasper";8710218;9
7;10;9028008;"Bruls, Sven";1467;1.5;1-0;1.0;1249;"De Vylder, Nathan";8964747;11
8;16;8966881;"Pai, Pradhyun";0;1.0;0-1;1.0;1190;"Van der Heijden, Marijn";9073427;13
