Rank;Name;Score;Federation;Gender;Rating;TPR;W-We;Mut-Res;BH;SB
1;"Vogels, Mathijs";4.5;NED;M;1838;1959;+0.48;0.0;13.5;11.75
2;"Hompes, Roel";3.5;NED;M;1750;1816;+0.44;;14.5; 9.25
3;"Yildirim, Azra";3.5;NED;V;1644;1671;+0.33;;11.0; 4.75
4;"Mathijssen, Koen";3.0;NED;M;1659;1566;-0.39;;12.5; 4.5
5;"Killic, Tuncay";2.5;NED;M;0 *;1588;1588;;13.0; 3.75
6;"Kursten, Gwen";1.0;NED;V;1347;1324;-0.25;;12.5; 1.0
7;"Fusers, Jonne";1.0;NED;M;1330;1305;-0.30;;12.0; 1.0
8;"Tromm, Amber";1.0;NED;V;1346;1302;-0.31;;11.0; 1.0
