Rank;Name;Score;Federation;Gender;Rating;TPR;W-We;Mut-Res;BH;SB
1;"Ma, Tim";3.0;NED;M;1861;2408;+0.44;0.0; 3.0; 3.0
2;"Leenen, Boyd";2.5;NED;M;2073;2083;+0.07;; 5.5; 4.25
3;"Thijssen, Freek";2.5;NED;M;1901;2050;+0.62;; 5.5; 4.25
4;"Gayen, Arish";2.0;NED;M;1756;1718;-0.02;; 4.5; 2.0
5;"Lalkota, Sai Pranav Tejas";2.0;NED;M;1855;1790;-0.05;; 4.0; 1.5
6;"Zhang, Yourui Eric";2.0;NED;M;1607;955;-0.30;; 2.5; 1.0
7;"Zhou, Yanyang";1.5;NED;M;1755;1608;-0.48;; 6.0; 2.5
8;"Elangkumaran, Anumitra";1.5;NED;V;1689;1482;-0.34;; 4.0; 1.5
9;"Pai, Pradhyun";1.0;NED;M;0;934;0;; 6.0; 1.0
10;"Mathijssen, Jasper";1.0;NED;M;1522;1475;-0.21;; 5.5; 1.0
11;"De Vylder, Nathan";1.0;NED;M;1249;1380;+0.29;; 5.5; 0.5
12;"Van der Heijden, Marijn";1.0;NED;M;1190;1287;+0.16;; 5.0; 1.5
13;"Bruls, Sven";1.0;NED;M;1467;1061;-0.17;; 5.0; 0.5
14;"Maram, Vihaan";1.0;NED;M;1056;1242;+0.52;; 3.5; 1.25
15;"Fusers, Lorijn";0.5;NED;V;1216;633;-0.53;; 3.5; 0.25
16;"Gupta, Adarsh";0.5;NED;M;0;1157;1157;; 3.5; 0.25
