Board;WhiteNr;WhiteFideId;WhiteName;WhiteElo;WhitePoints;Result;BlackPoints;BlackElo;BlackName;BlackFideId;BlackNr
1;3;8860687;"Van Boxel, Marit";1580;1.0;0-1;0.0;1689;"Elangkumaran, Anumitra";8925125;1
2;4;8871038;"Zhang, Melody";1477;0.0;0-1;1.0;1216;"Fusers, Lorijn";8831471;5
-;2;8862249;"Ganeshram, Niranjana";1685;2.0;1;;;
