Board;WhiteNr;WhiteFideId;WhiteName;WhiteElo;WhitePoints;Result;BlackPoints;BlackElo;BlackName;BlackFideId;BlackNr
1;6;8990377;"Zhou, Yanyang";1755;3.0;1/2-1/2;5.0;1901;"Thijssen, Freek";8806479;2
2;3;8933991;"Ma, Tim";1861;4.0;0-1;4.5;1855;"Lalkota, Sai Pranav Tejas";8930592;4
3;1;8809306;"Leenen, Boyd";2073;4.5;1-0;3.5;1467;"Bruls, Sven";9028008;10
4;14;8934629;"Maram, Vihaan";1056;3.0;0-1;4.0;1756;"Gayen, Arish";8798075;5
5;12;8831471;"Fusers, Lorijn";1216;2.5;0-1;3.0;1689;"Elangkumaran, Anumitra";8925125;7
6;15;9052032;"Gupta, Adarsh";0;2.5;0-1;2.5;1522;"Mathijssen, Jasper";8710218;9
7;13;9073427;"Van der Heijden, Marijn";1190;2.0;1-0;2.0;1607;"Zhang, Yourui Eric";8746727;8
8;11;8964747;"De Vylder, Nathan";1249;1.0;1-0;1.0;0;"Pai, Pradhyun";8966881;16
