Rank;Name;Score;Federation;Gender;Rating;TPR;W-We;Mut-Res;BH;SB
1;"Vogels, Mathijs";5.5;NED;M;1838;1952;+0.56;0.0;17.5;15.25
2;"Hompes, Roel";4.5;NED;M;1750;1808;+0.52;;18.5;12.25
3;"Mathijssen, Koen";4.0;NED;M;1659;1654;+0.09;;19.0; 9.0
4;"Killic, Tuncay";3.5;NED;M;0 *;1602;+0.50;;17.0; 5.25
5;"Yildirim, Azra";3.5;NED;V;1644;1602;-0.15;;17.0; 5.25
6;"Kursten, Gwen";1.0;NED;V;1347;1323;-0.33;;19.0; 1.0
7;"Tromm, Amber";1.0;NED;V;1346;1305;-0.39;;18.5; 1.0
8;"Fusers, Jonne";1.0;NED;M;1330;1305;-0.30;;17.5; 1.0
