Board;WhiteNr;WhiteFideId;WhiteName;WhiteElo;WhitePoints;Result;BlackPoints;BlackElo;BlackName;BlackFideId;BlackNr
1;2;8939645;"Zhang, Xiheng";2000;3.0;1-0;4.0;2072;"Dinanath, Hrdya";8853042;1
2;4;8933991;"Ma, Tim";1861;3.0;1/2-1/2;3.0;1743;"Huang, Vincent";8973327;9
3;6;9030736;"Van Heinsbergen, Jonathan";1761;3.0;1-0;3.0;1548;"Plukkel, Guus";8985273;11
4;10;8924927;"Verstegen, Jonas";1594;3.0;0-1;3.0;1755;"Zhou, Yanyang";8990377;7
5;8;8983249;"Srivatsa, Kirtin";1754;2.5;0-1;2.5;1829;"Omnes, Tiago";8852580;5
6;17;9068708;"Li, Vince";1333;2.0;0-1;2.0;1492;"Zhang, Melody";8871038;13
7;14;8966474;"Gafurov, Damir";1457;2.0;1-0;2.0;1182;"Methlouthi, Aly";9021133;18
8;15;8961678;"Omnes, Zoë";1417;2.0;1-0;2.0;0;"Chaudhuri, Aarini";9091962;24
9;27;9100641;"Marupudi, Maurya Kiran";0;2.0;0-1;2.0;1365;"Malhan, Kiyaan";9026237;16
10;22;9076243;"Staadegaard, Bas";1087;1.0;0-1;1.0;1509;"Pata, Teodor-Stefan";9022409;12
11;19;9074351;"Kao, Ko-En";1137;1.0;0-1;1.0;0;"Satya Penugurti,Advika";9100674;28
12;25;9094327;"Deijkers, Senn";0;1.0;0-1;1.0;1090;"Engels, Devy";8843901;20
13;23;9072426;"Kao, Cheng-Zhe Buddy";870;0.0;0-1;1.0;0;"Hamelink, Noah";9094811;26
-;3;8885184;"Lenting, Roan";1881;3.0;0;;;bye
-;21;8965847;"Jin, Jayden";1090;0.0;1;;;pairing allocated bye
