Board;WhiteNr;WhiteFideId;WhiteName;WhiteElo;WhitePoints;Result;BlackPoints;BlackElo;BlackName;BlackFideId;BlackNr
1;3;8902344;"Leenen, Pomme";1475;3.0;0-1;3.0;1861;"Ma, Tim";8933991;1
2;4;8902355;"Leenen, Bing";1302;2.0;1-0;2.0;1054;"Lalkota, Srikar";8974768;8
3;5;9013796;"Altay, Cagan Deniz";1222;2.0;1-0;2.0;0;"Do, Leo";9100454;13
4;6;9054606;"Kokkula, Advaith Krishna";1220;2.0;1-0;2.0;0;"Marupudi, Maurya Kiran";9100641;14
5;12;9091962;"Chaudhuri, Aarini";0;1.5;1-0;1.0;1207;"Ding, David";9083679;7
6;2;9022409;"Pata, Teodor-Stefan";1498;1.0;1-0;1.0;773;"Spahiev, Jordan";8999507;10
7;15;9100674;"Satya Penugurti, Advika";0;1.0;1-0;0.5;841;"Udhaya Kumar, Medhini";8999111;9
-;11;9021144;"Methlouthi, Youssef";737;0.0;1;;;pairing allocated bye
