Board;WhiteNr;WhiteFideId;WhiteName;WhiteElo;WhitePoints;Result;BlackPoints;BlackElo;BlackName;BlackFideId;BlackNr
1;5;8798075;"Gayen, Arish";1756;4.0;0-1;3.5;1855;"Lalkota, Sai Pranav Tejas";8930592;4
2;2;8806479;"Thijssen, Freek";1901;4.0;1-0;3.0;1056;"Maram, Vihaan";8934629;14
3;7;8925125;"Elangkumaran, Anumitra";1689;3.0;0-1;3.5;2073;"Leenen, Boyd";8809306;1
4;9;8710218;"Mathijssen, Jasper";1522;2.5;0-1;3.0;1861;"Ma, Tim";8933991;3
5;8;8746727;"Zhang, Yourui Eric";1607;2.0;0-1;2.5;1467;"Bruls, Sven";9028008;10
6;6;8990377;"Zhou, Yanyang";1755;2.0;1-0;2.0;1190;"Van der Heijden, Marijn";9073427;13
7;16;8966881;"Pai, Pradhyun";0;1.0;0-1;1.5;1216;"Fusers, Lorijn";8831471;12
8;15;9052032;"Gupta, Adarsh";0;1.5;1-0;1.0;1249;"De Vylder, Nathan";8964747;11
