Rank;Name;Score;Federation;Gender;Rating;TPR;W-We;Mut-Res;BH;SB
1;"Thijssen, Freek";5.0;NED;M;1901;2031;+1.08;0.0;23.5;19.0
2;"Leenen, Boyd";4.5;NED;M;2073;1965;-0.58;;22.5;16.0
3;"Lalkota, Sai Pranav Tejas";4.5;NED;M;1855;1903;+0.56;;21.5;14.5
4;"Gayen, Arish";4.0;NED;M;1756;1886;+1.13;;22.5;13.0
5;"Ma, Tim";4.0;NED;M;1861;1751;-0.52;;16.0; 7.0
6;"Bruls, Sven";3.5;NED;M;1467;1620;+0.82;;17.5; 6.75
7;"Zhou, Yanyang";3.0;NED;M;1755;1657;-0.62;;19.0; 7.25
8;"Maram, Vihaan";3.0;NED;M;1056;1289;+1.19;;16.0; 6.0
9;"Elangkumaran, Anumitra";3.0;NED;V;1689;1675;+0.05;;16.0; 5.5
10;"Mathijssen, Jasper";2.5;NED;M;1522;1500;-0.27;;21.5; 7.25
11;"Fusers, Lorijn";2.5;NED;V;1216;1201;-0.21;;13.0; 3.75
12;"Gupta, Adarsh";2.5;NED;M;0;1170;1170;;12.5; 2.75
13;"Zhang, Yourui Eric";2.0;NED;M;1607;892;-1.57;;17.5; 3.0
14;"Van der Heijden, Marijn";2.0;NED;M;1190;1168;-0.38;;16.5; 3.75
15;"De Vylder, Nathan";1.0;NED;M;1249;1167;-0.68;;19.0; 2.5
16;"Pai, Pradhyun";1.0;NED;M;0;669; 669;;15.5; 2.5
