Rank;Name;Score;Federation;Gender;Rating;TPR;W-We;Mut-Res;BH;SB
1;"Ganeshram, Niranjana";3.0;NED;V;1685;2276;+0.46;0.0; 3.0; 3.0
2;"Omnes, Zoë";3.0;NED;V;1402;2052;+0.70;0.0; 1.0; 1.0
3;"Zhang, Melody";2.0;NED;V;1477;1381;-0.15;; 3.0; 0.0
4;"Leenen, Pomme";1.0;NED;V;1475;1262;-0.75;; 6.0; 0.0
5;"Chaudhuri, Aarini";0.0;NED;V;0;721; 721;; 8.0; 0.0
6;"Thijssen, Lucia";0.0;NED;V;1028;619;-0.26;; 6.0; 0.0
