Board;WhiteNr;WhiteFideId;WhiteName;WhiteElo;WhitePoints;Result;BlackPoints;BlackElo;BlackName;BlackFideId;BlackNr
1;2;8871038;"Zhang, Melody";1477;1.0;1-0;0.0;0;"Chaudhuri, Aarini";9091962;6
2;3;8902344;"Leenen, Pomme";1475;1.0;0-1;2.0;1685;"Ganeshram, Niranjana";8862249;1
3;4;8961678;"Omnes, Zoë";1402;2.0;1-0;0.0;1028;"Thijssen, Lucia";8947026;5
