Board;WhiteNr;WhiteFideId;WhiteName;WhiteElo;WhitePoints;Result;BlackPoints;BlackElo;BlackName;BlackFideId;BlackNr
1;1;8809306;"Leenen, Boyd";2073;0.0;1-0;0.0;1522;"Mathijssen, Jasper";8710218;9
2;10;9028008;"Bruls, Sven";1467;0.0;0-1;0.0;1901;"Thijssen, Freek";8806479;2
3;3;8933991;"Ma, Tim";1861;0.0;1-0;0.0;1249;"De Vylder, Nathan";8964747;11
4;12;8831471;"Fusers, Lorijn";1216;0.0;0-1;0.0;1855;"Lalkota, Sai Pranav Tejas";8930592;4
5;5;8798075;"Gayen, Arish";1756;0.0;1-0;0.0;1190;"Van der Heijden, Marijn";9073427;13
6;14;8934629;"Maram, Vihaan";1056;0.0;1/2-1/2;0.0;1755;"Zhou, Yanyang";8990377;6
7;8;8746727;"Zhang, Yourui Eric";1607;0.0;1-0;0.0;0;"Gupta, Adarsh";9052032;15
-;7;8925125;"Elangkumaran, Anumitra";1689;0.0;0;;;bye
-;16;8966881;"Pai, Pradhyun";0;0.0;1;;;pairing allocated bye
