Board;WhiteNr;WhiteFideId;WhiteName;WhiteElo;WhitePoints;Result;BlackPoints;BlackElo;BlackName;BlackFideId;BlackNr
1;4;8930592;"Lalkota, Sai Pranav Tejas";1855;1.0;0-1;1.0;2073;"Leenen, Boyd";8809306;1
2;2;8806479;"Thijssen, Freek";1901;1.0;1-0;1.0;1756;"Gayen, Arish";8798075;5
3;16;8966881;"Pai, Pradhyun";0;1.0;0-1;1.0;1861;"Ma, Tim";8933991;3
4;6;8990377;"Zhou, Yanyang";1755;0.5;1-0;1.0;1607;"Zhang, Yourui Eric";8746727;8
5;9;8710218;"Mathijssen, Jasper";1522;0.0;1-0;0.5;1056;"Maram, Vihaan";8934629;14
6;13;9073427;"Van der Heijden, Marijn";1190;0.0;1/2-1/2;0.0;1689;"Elangkumaran, Anumitra";8925125;7
7;15;9052032;"Gupta, Adarsh";0;0.0;0-1;0.0;1467;"Bruls, Sven";9028008;10
8;11;8964747;"De Vylder, Nathan";1249;0.0;1-0;0.0;1216;"Fusers, Lorijn";8831471;12
