Rank;Name;Score;Federation;Gender;Rating;TPR;W-We;Mut-Res;BH;SB
1;"Leenen, Boyd";2.0;NED;M;2073;2564;+0.30;0.0; 2.0; 2.0
2;"Thijssen, Freek";2.0;NED;M;1901;2429;+0.39;0.0; 2.0; 2.0
3;"Ma, Tim";2.0;NED;M;1861;2261;+0.08;0.0; 1.5; 1.5
4;"Zhou, Yanyang";1.5;NED;M;1755;1674;-0.12;; 1.5; 1.25
5;"Gayen, Arish";1.0;NED;M;1756;1629;-0.23;; 2.5; 0.5
6;"Mathijssen, Jasper";1.0;NED;M;1522;1522;+0.00;; 2.5; 0.5
7;"Pai, Pradhyun";1.0;NED;M;0;1061;0;; 2.5; 0.5
8;"Bruls, Sven";1.0;NED;M;1467;1067;-0.08;; 2.0; 0.0
9;"De Vylder, Nathan";1.0;NED;M;1249;1433;+0.37;; 2.0; 0.0
10;"Lalkota, Sai Pranav Tejas";1.0;NED;M;1855;1764;-0.14;; 2.0; 0.0
11;"Zhang, Yourui Eric";1.0;NED;M;1607;955;-0.30;; 1.5; 0.0
12;"Maram, Vihaan";0.5;NED;M;1056;1263;+0.34;; 2.5; 0.75
13;"Van der Heijden, Marijn";0.5;NED;M;1190;1397;+0.34;; 2.0; 0.5
14;"Elangkumaran, Anumitra";0.5;NED;V;1689;1289;-0.42;; 2.0; 0.25
15;"Fusers, Lorijn";0.0;NED;V;1216;633;-0.53;; 2.0; 0.0
16;"Gupta, Adarsh";0.0;NED;M;0;737;0;; 2.0; 0.0
