Rank;Name;Score;Federation;Gender;Rating;TPR;W-We;Mut-Res;BH;SB
1;"Vogels, Mathijs";3.5;NED;M;1838;1957;+0.40;0.0;10.5; 9.0
2;"Hompes, Roel";3.0;NED;M;1750;1889;+0.58;; 9.0; 6.0
3;"Yildirim, Azra";3.0;NED;V;1644;1658;+0.19;; 5.5; 2.0
4;"Killic, Tuncay";2.5;NED;M;0 *;1665;+0.50;; 7.5; 2.5
5;"Mathijssen, Koen";2.0;NED;M;1659;1566;-0.39;; 7.5; 1.0
6;"Fusers, Jonne";1.0;NED;M;1330;1402;+0.18;; 9.0; 1.0
7;"Kursten, Gwen";1.0;NED;V;1347;1315;-0.17;; 6.5; 0.0
8;"Tromm, Amber";0.0;NED;V;1346;750;-0.79;; 8.5; 0.0
