Rank;Name;Score;Federation;Gender;Rating;TPR;W-We;Mut-Res;BH;SB
1;"Ganeshram, Niranjana";2.0;NED;V;1685;2277;+0.23;0.0; 1.0; 1.0
2;"Omnes, Zoë";2.0;NED;V;1402;2275;+0.60;0.0; 1.0; 1.0
3;"Zhang, Melody";1.0;NED;V;1477;1381;-0.15;; 2.0; 0.0
4;"Leenen, Pomme";1.0;NED;V;1475;1239;-0.52;; 2.0; 0.0
5;"Chaudhuri, Aarini";0.0;NED;V;0;744;0;; 4.0; 0.0
6;"Thijssen, Lucia";0.0;NED;V;1028;628;-0.16;; 2.0; 0.0
