Rank;Name;Score;Federation;Gender;Rating;TPR;W-We;Mut-Res;BH;SB
1;"Ma, Tim";6.5;NED;M;1861;1871;+0.01;0.0;28.5;26.75
2;"Kokkula, Advaith Krishna";6.0;NED;M;1220;1564;+1.23;;27.0;20.5
3;"Leenen, Bing";4.5;NED;M;1302;1366;+0.56;;27.0;14.25
4;"Leenen, Pomme";4.5;NED;V;1475;1336;-0.86;;26.5;11.75
5;"Altay, Cagan Deniz";4.0;NED;M;1222;1351;+0.67;;32.0;15.0
6;"Chaudhuri, Aarini";4.0;NED;V;0;1104;+0.50;;23.5;11.25
7;"Do, Leo";3.5;NED;M;0 *;1166;1166;;25.5; 7.5
8;"Pata, Teodor-Stefan";3.5;NED;M;1498;1223;-1.94;;23.0; 8.25
9;"Methlouthi, Youssef";3.5;NED;M;737;938;+0.76;;19.0; 6.0
10;"Ding, David";3.5;NED;M;1207;1091;-0.24;;17.0; 6.0
11;"Lalkota, Srikar";3.0;NED;M;1054;1237;+0.78;;27.0; 9.25
12;"Satya Penugurti, Advika";3.0;NED;V;0 *;1029;1029;;27.0; 8.5
13;"Marupudi, Maurya Kiran";3.0;NED;M;0 *;1038;1038;;24.0; 7.0
14;"Udhaya Kumar, Medhini";2.5;NED;V;841;949;+0.23;;17.5; 4.0
15;"Spahiev, Jordan";1.0;NED;M;773;219;-1.20;;21.0; 2.0
