Board;WhiteNr;WhiteFideId;WhiteName;WhiteElo;WhitePoints;Result;BlackPoints;BlackElo;BlackName;BlackFideId;BlackNr
1;1;8933991;"Ma, Tim";1861;5.5;1-0;3.5;0;"Do, Leo";9100454;13
2;5;9013796;"Altay, Cagan Deniz";1222;4.0;0-1;5.0;1220;"Kokkula, Advaith Krishna";9054606;6
3;4;8902355;"Leenen, Bing";1302;3.5;1-0;3.5;1498;"Pata, Teodor-Stefan";9022409;2
4;3;8902344;"Leenen, Pomme";1475;3.5;1-0;3.0;0;"Satya Penugurti, Advika";9100674;15
5;8;8974768;"Lalkota, Srikar";1054;3.0;0-1;3.0;0;"Chaudhuri, Aarini";9091962;12
6;9;8999111;"Udhaya Kumar, Medhini";841;2.5;0-1;2.5;1207;"Ding, David";9083679;7
7;11;9021144;"Methlouthi, Youssef";737;2.5;1-0;1.0;773;"Spahiev, Jordan";8999507;10
-;14;9100641;"Marupudi, Maurya Kiran";0;2.0;1;;;pairing allocated bye
