Board;WhiteNr;WhiteFideId;WhiteName;WhiteElo;WhitePoints;Result;BlackPoints;BlackElo;BlackName;BlackFideId;BlackNr
1;1;8853042;"Dinanath, Hrdya";2072;4.0;0-1;4.0;1755;"Zhou, Yanyang";8990377;7
2;6;9030736;"Van Heinsbergen, Jonathan";1761;4.0;0-1;4.0;2000;"Zhang, Xiheng";8939645;2
3;5;8852580;"Omnes, Tiago";1829;3.5;1-0;3.5;1743;"Huang, Vincent";8973327;9
4;13;8871038;"Zhang, Melody";1492;3.0;0-1;3.5;1861;"Ma, Tim";8933991;4
5;11;8985273;"Plukkel, Guus";1548;3.0;0-1;3.0;1594;"Verstegen, Jonas";8924927;10
6;16;9026237;"Malhan, Kiyaan";1365;3.0;1/2-1/2;3.0;1457;"Gafurov, Damir";8966474;14
7;8;8983249;"Srivatsa, Kirtin";1754;2.5;1-0;3.0;1417;"Omnes, Zoë";8961678;15
8;28;9100674;"Satya Penugurti,Advika";0;2.0;0-1;2.0;1509;"Pata, Teodor-Stefan";9022409;12
9;20;8843901;"Engels, Devy";1090;2.0;0-1;2.0;1333;"Li, Vince";9068708;17
10;18;9021133;"Methlouthi, Aly";1182;2.0;1-0;2.0;0;"Hamelink, Noah";9094811;26
11;24;9091962;"Chaudhuri, Aarini";0;2.0;1-0;2.0;0;"Marupudi, Maurya Kiran";9100641;27
12;19;9074351;"Kao, Ko-En";1137;1.0;1-0;1.0;1087;"Staadegaard, Bas";9076243;22
13;21;8965847;"Jin, Jayden";1090;1.0;1-0;1.0;0;"Deijkers, Senn";9094327;25
-;3;8885184;"Lenting, Roan";1881;3.0;0;;;bye
-;23;9072426;"Kao, Cheng-Zhe Buddy";870;0.0;1;;;pairing allocated bye
